candidate,scope,n,model_accuracy,model_log_loss,model_brier,market_accuracy,market_log_loss,beat_closing_line_rate,beat_closing_line_n,regression,prior_strength,home_field_weight,composite
reg=0.5_prior=3.0_home=0.0_wt=live,weeks_1_6,814,0.5995085995085995,0.6813092115775731,0.2441027309189904,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.5,3.0,0.0,live
reg=0.5_prior=3.0_home=0.0_wt=core_only,overall,2333,0.5666523789112731,0.6841187818663307,0.24550427940873126,0.6691855583543241,0.6066100785516633,0.3271869639794168,2332,0.5,3.0,0.0,core_only
reg=0.5_prior=3.0_home=0.0_wt=core_only,weeks_1_6,814,0.5442260442260443,0.6870027371661074,0.24693660909345455,0.6298076923076923,0.636911125040649,0.36531365313653136,813,0.5,3.0,0.0,core_only
reg=0.5_prior=3.0_home=0.0_wt=core_heavy,overall,2333,0.5859408486926704,0.6806824981180516,0.2437941329234525,0.6691855583543241,0.6066100785516633,0.3280445969125214,2332,0.5,3.0,0.0,core_heavy
reg=0.5_prior=3.0_home=0.0_wt=core_heavy,weeks_1_6,814,0.5712530712530712,0.6839678106181851,0.24542645747742697,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.5,3.0,0.0,core_heavy
reg=0.5_prior=3.0_home=0.02_wt=live,overall,2333,0.6155165023574797,0.6772782156988015,0.24209992998670832,0.6691855583543241,0.6066100785516633,0.330188679245283,2332,0.5,3.0,0.02,live
reg=0.5_prior=3.0_home=0.02_wt=live,weeks_1_6,814,0.5945945945945946,0.6811798192291962,0.24403871145883393,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.5,3.0,0.02,live
reg=0.5_prior=3.0_home=0.02_wt=core_only,overall,2333,0.5700814402057437,0.683467459373623,0.2451804326898402,0.6691855583543241,0.6066100785516633,0.3263293310463122,2332,0.5,3.0,0.02,core_only
reg=0.5_prior=3.0_home=0.02_wt=core_only,weeks_1_6,814,0.5565110565110565,0.6868351811418846,0.24685284163671686,0.6298076923076923,0.636911125040649,0.3640836408364084,813,0.5,3.0,0.02,core_only
reg=0.5_prior=3.0_home=0.02_wt=core_heavy,overall,2333,0.5876553793399057,0.6800632841623105,0.24348637476796686,0.6691855583543241,0.6066100785516633,0.3276157804459691,2332,0.5,3.0,0.02,core_heavy
reg=0.5_prior=3.0_home=0.02_wt=core_heavy,weeks_1_6,814,0.5638820638820639,0.6838246763844756,0.24535511829570403,0.6298076923076923,0.636911125040649,0.36654366543665434,813,0.5,3.0,0.02,core_heavy
reg=0.5_prior=3.0_home=0.05_wt=live,overall,2333,0.6069438491213031,0.67657709759201,0.24175411692629548,0.6691855583543241,0.6066100785516633,0.33276157804459694,2332,0.5,3.0,0.05,live
reg=0.5_prior=3.0_home=0.05_wt=live,weeks_1_6,814,0.5872235872235873,0.6811657820116587,0.244033967409006,0.6298076923076923,0.636911125040649,0.3714637146371464,813,0.5,3.0,0.05,live
reg=0.5_prior=3.0_home=0.05_wt=core_only,overall,2333,0.5747963994856408,0.6826912175082204,0.24479581222817254,0.6691855583543241,0.6066100785516633,0.32890222984562606,2332,0.5,3.0,0.05,core_only
reg=0.5_prior=3.0_home=0.05_wt=core_only,weeks_1_6,814,0.5614250614250614,0.6867671527139102,0.24681905148290845,0.6298076923076923,0.636911125040649,0.3640836408364084,813,0.5,3.0,0.05,core_only
reg=0.5_prior=3.0_home=0.05_wt=core_heavy,overall,2333,0.6005143591941706,0.679332718173332,0.24312527774065823,0.6691855583543241,0.6066100785516633,0.32890222984562606,2332,0.5,3.0,0.05,core_heavy
reg=0.5_prior=3.0_home=0.05_wt=core_heavy,weeks_1_6,814,0.585995085995086,0.6837912442246545,0.24533953554993798,0.6298076923076923,0.636911125040649,0.36531365313653136,813,0.5,3.0,0.05,core_heavy
reg=0.5_prior=6.0_home=0.0_wt=live,overall,2333,0.612087441063009,0.677766770807441,0.24234240161321294,0.6691855583543241,0.6066100785516633,0.33147512864493994,2332,0.5,6.0,0.0,live
reg=0.5_prior=6.0_home=0.0_wt=live,weeks_1_6,814,0.5995085995085995,0.6812542972074598,0.24407476258612337,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.5,6.0,0.0,live
reg=0.5_prior=6.0_home=0.0_wt=core_only,overall,2333,0.574367766823832,0.6838646523648274,0.24537821078356814,0.6691855583543241,0.6066100785516633,0.32890222984562606,2332,0.5,6.0,0.0,core_only
reg=0.5_prior=6.0_home=0.0_wt=core_only,weeks_1_6,814,0.5528255528255528,0.6868232428377341,0.2468480601463735,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.5,6.0,0.0,core_only
reg=0.5_prior=6.0_home=0.0_wt=core_heavy,overall,2333,0.5910844406343764,0.6804958799870192,0.24370129206699132,0.6691855583543241,0.6066100785516633,0.32847341337907376,2332,0.5,6.0,0.0,core_heavy
reg=0.5_prior=6.0_home=0.0_wt=core_heavy,weeks_1_6,814,0.5700245700245701,0.6838262260119313,0.2453559498287275,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.5,6.0,0.0,core_heavy
reg=0.5_prior=6.0_home=0.02_wt=live,overall,2333,0.6099442777539649,0.6771678208279568,0.2420449203332012,0.6691855583543241,0.6066100785516633,0.330188679245283,2332,0.5,6.0,0.02,live
reg=0.5_prior=6.0_home=0.02_wt=live,weeks_1_6,814,0.581081081081081,0.681121080168473,0.24400898724253792,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.5,6.0,0.02,live
reg=0.5_prior=6.0_home=0.02_wt=core_only,overall,2333,0.5730818688384055,0.6832116819176403,0.24505368119409165,0.6691855583543241,0.6066100785516633,0.3263293310463122,2332,0.5,6.0,0.02,core_only
reg=0.5_prior=6.0_home=0.02_wt=core_only,weeks_1_6,814,0.558968058968059,0.6866474033374592,0.24676037452123184,0.6298076923076923,0.636911125040649,0.3628536285362854,813,0.5,6.0,0.02,core_only
reg=0.5_prior=6.0_home=0.02_wt=core_heavy,overall,2333,0.5915130732961852,0.6798751624718101,0.24339293240919535,0.6691855583543241,0.6066100785516633,0.32847341337907376,2332,0.5,6.0,0.02,core_heavy
reg=0.5_prior=6.0_home=0.02_wt=core_heavy,weeks_1_6,814,0.5687960687960688,0.6836762709535923,0.24528141204973805,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.5,6.0,0.02,core_heavy
reg=0.5_prior=6.0_home=0.05_wt=live,overall,2333,0.6082297471067295,0.6764660519976362,0.241698949918911,0.6691855583543241,0.6066100785516633,0.3319039451114923,2332,0.5,6.0,0.05,live
reg=0.5_prior=6.0_home=0.05_wt=live,weeks_1_6,814,0.5896805896805897,0.6811016624177672,0.24400177231818243,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.5,6.0,0.05,live
reg=0.5_prior=6.0_home=0.05_wt=core_only,overall,2333,0.5726532361765967,0.6824331224660103,0.24466813428930406,0.6691855583543241,0.6066100785516633,0.3280445969125214,2332,0.5,6.0,0.05,core_only
reg=0.5_prior=6.0_home=0.05_wt=core_only,weeks_1_6,814,0.5503685503685504,0.686567594553358,0.24672104326699282,0.6298076923076923,0.636911125040649,0.36162361623616235,813,0.5,6.0,0.05,core_only
reg=0.5_prior=6.0_home=0.05_wt=core_heavy,overall,2333,0.5940848692670382,0.6791425013995959,0.24303101830681273,0.6691855583543241,0.6066100785516633,0.3271869639794168,2332,0.5,6.0,0.05,core_heavy
reg=0.5_prior=6.0_home=0.05_wt=core_heavy,weeks_1_6,814,0.5700245700245701,0.6836331871779088,0.24526131689988703,0.6298076923076923,0.636911125040649,0.36162361623616235,813,0.5,6.0,0.05,core_heavy
reg=0.5_prior=10.0_home=0.0_wt=live,overall,2333,0.6108015430775825,0.6778004284736293,0.24235894275382253,0.6691855583543241,0.6066100785516633,0.33061749571183535,2332,0.5,10.0,0.0,live
reg=0.5_prior=10.0_home=0.0_wt=live,weeks_1_6,814,0.5921375921375921,0.6813919805284668,0.24414270272597385,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.5,10.0,0.0,live
reg=0.5_prior=10.0_home=0.0_wt=core_only,overall,2333,0.5657951135876553,0.6838809297938776,0.24538671989913538,0.6691855583543241,0.6066100785516633,0.3297598627787307,2332,0.5,10.0,0.0,core_only
reg=0.5_prior=10.0_home=0.0_wt=core_only,weeks_1_6,814,0.5552825552825553,0.6870150607661023,0.2469440565148348,0.6298076923076923,0.636911125040649,0.3714637146371464,813,0.5,10.0,0.0,core_only
reg=0.5_prior=10.0_home=0.0_wt=core_heavy,overall,2333,0.5812258894127732,0.6805556717073353,0.24373110344700596,0.6691855583543241,0.6066100785516633,0.3297598627787307,2332,0.5,10.0,0.0,core_heavy
reg=0.5_prior=10.0_home=0.0_wt=core_heavy,weeks_1_6,814,0.5724815724815725,0.6840174175539943,0.24545100750482102,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.5,10.0,0.0,core_heavy
reg=0.5_prior=10.0_home=0.02_wt=live,overall,2333,0.6065152164594942,0.6772000664076797,0.24206083032983422,0.6691855583543241,0.6066100785516633,0.32890222984562606,2332,0.5,10.0,0.02,live
reg=0.5_prior=10.0_home=0.02_wt=live,weeks_1_6,814,0.5835380835380836,0.6812549183382017,0.24407507530859077,0.6298076923076923,0.636911125040649,0.3640836408364084,813,0.5,10.0,0.02,live
reg=0.5_prior=10.0_home=0.02_wt=core_only,overall,2333,0.5790827261037291,0.6832240753835264,0.24506031349421856,0.6691855583543241,0.6066100785516633,0.3293310463121784,2332,0.5,10.0,0.02,core_only
reg=0.5_prior=10.0_home=0.02_wt=core_only,weeks_1_6,814,0.5601965601965602,0.6868299449731537,0.2468518616157864,0.6298076923076923,0.636911125040649,0.36531365313653136,813,0.5,10.0,0.02,core_only
reg=0.5_prior=10.0_home=0.02_wt=core_heavy,overall,2333,0.594513501928847,0.6799315195003781,0.24342110160324407,0.6691855583543241,0.6066100785516633,0.32847341337907376,2332,0.5,10.0,0.02,core_heavy
reg=0.5_prior=10.0_home=0.02_wt=core_heavy,weeks_1_6,814,0.5712530712530712,0.6838598687943919,0.2453727616687678,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.5,10.0,0.02,core_heavy
reg=0.5_prior=10.0_home=0.05_wt=live,overall,2333,0.6150878696956709,0.6764963055798834,0.2417139580408274,0.6691855583543241,0.6066100785516633,0.3323327615780446,2332,0.5,10.0,0.05,live
reg=0.5_prior=10.0_home=0.05_wt=live,weeks_1_6,814,0.5933660933660934,0.6812300470308664,0.24406520938290918,0.6298076923076923,0.636911125040649,0.3714637146371464,813,0.5,10.0,0.05,live
reg=0.5_prior=10.0_home=0.05_wt=core_only,overall,2333,0.5726532361765967,0.6824400151739146,0.2446720931236664,0.6691855583543241,0.6066100785516633,0.3280445969125214,2332,0.5,10.0,0.05,core_only
reg=0.5_prior=10.0_home=0.05_wt=core_only,weeks_1_6,814,0.5540540540540541,0.6867369516319223,0.24680608984866925,0.6298076923076923,0.636911125040649,0.36531365313653136,813,0.5,10.0,0.05,core_only
reg=0.5_prior=10.0_home=0.05_wt=core_heavy,overall,2333,0.5957993999142734,0.6791939958679086,0.24305684021938226,0.6691855583543241,0.6066100785516633,0.330188679245283,2332,0.5,10.0,0.05,core_heavy
reg=0.5_prior=10.0_home=0.05_wt=core_heavy,weeks_1_6,814,0.5724815724815725,0.6838060057994885,0.2453473662923902,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.5,10.0,0.05,core_heavy
reg=0.7_prior=3.0_home=0.0_wt=live,overall,2333,0.6073724817831119,0.6778068126374311,0.24236242035744363,0.6691855583543241,0.6066100785516633,0.3297598627787307,2332,0.7,3.0,0.0,live
reg=0.7_prior=3.0_home=0.0_wt=live,weeks_1_6,814,0.5945945945945946,0.6812550756790529,0.24407548587324865,0.6298076923076923,0.636911125040649,0.36654366543665434,813,0.7,3.0,0.0,live
reg=0.7_prior=3.0_home=0.0_wt=core_only,overall,2333,0.5735105015002143,0.6839723662820332,0.24543156604454142,0.6691855583543241,0.6066100785516633,0.3271869639794168,2332,0.7,3.0,0.0,core_only
