n_pa_ending,n_matched,n_unmatched,compliance_rate,mean_pa_value_matched,mean_pa_value_unmatched,pooled_p_value,n_batters_paired,paired_p_value,paired_mean_diff,shrinkage_strength,hitter_multiplier,pitcher_multiplier,leverage_multiplier
86389,41054,45335,0.5422017248589669,0.7433380425780679,0.6351825300540421,8.019482531116625e-119,491,4.617933736826829e-16,0.0949744931832532,20.0,1.1,0.9,0.95
86389,42524,43865,0.5427076600934079,0.7257548678393377,0.648603670352217,2.4697509038662542e-88,492,1.2656446059271022e-08,0.06435288233068687,20.0,1.15,0.85,1.0
86389,42608,43781,0.542614076697442,0.7253567405182125,0.648843105456705,6.109347638871859e-87,492,1.5102813995726537e-08,0.06359114578696635,20.0,1.15,0.85,0.98
86389,42739,43650,0.5423947406131467,0.7253094363461944,0.648659793814433,2.2947002219910934e-85,492,2.1438721529379212e-08,0.06303377232429855,20.0,1.15,0.85,0.95
86389,45027,41362,0.5424649281601212,0.7023563639594022,0.6694067018035879,4.1207220520400977e-47,493,0.047795220070546575,0.021677393679602856,20.0,1.3,0.7,1.0
86389,45104,41285,0.5423976650942707,0.7021550195104647,0.6695652173913044,2.6141355827917905e-46,493,0.05696593675932315,0.020708919510758456,20.0,1.3,0.7,0.98
86389,45226,41163,0.5422455920758259,0.702250917613762,0.6693632631246508,1.715903622403177e-45,493,0.056124058603027265,0.020742106383509446,20.0,1.3,0.7,0.95
86389,37028,49361,0.5354578713871692,0.7666360591984445,0.6265270152549584,1.574936158072632e-147,490,7.31829791504857e-24,0.12257778910090697,40.0,1.0,1.0,1.0
86389,37183,49206,0.5352297618595021,0.7656993787483527,0.6267934804698614,5.20045222677568e-143,490,1.7105566065423967e-23,0.12079774171450279,40.0,1.0,1.0,0.98
86389,37479,48910,0.5352736290763611,0.7638677659489314,0.6273563688407279,2.2251257873886678e-136,490,2.9094317165048207e-23,0.11896402937338833,40.0,1.0,1.0,0.95
86389,39938,46451,0.540122418779848,0.7475336771996595,0.6341736453467094,1.829794070909799e-128,489,4.50956354764364e-18,0.0983744529940295,40.0,1.05,0.95,1.0
86389,40082,46307,0.5399118561389246,0.7470186118457163,0.6342669574794307,1.6933598759582814e-125,489,6.676093262118051e-18,0.09749545058880435,40.0,1.05,0.95,0.98
86389,40341,46048,0.5397305383092404,0.7454202920106096,0.6350330090340515,8.637896345942418e-120,490,1.7380424581396346e-17,0.096436468932535,40.0,1.05,0.95,0.95
86389,41449,44940,0.5402920386850363,0.7321527660498444,0.6445482866043614,4.299737439344129e-99,490,1.648510097535822e-11,0.07461057447423453,40.0,1.08,0.92,1.0
86389,41599,44790,0.5401077963742283,0.7319647106901608,0.6444295601696808,2.0399879803457667e-97,490,2.6566193142516154e-11,0.07379957235176283,40.0,1.08,0.92,0.98
86389,41813,44576,0.5398387441108261,0.7312558295267022,0.644674264178033,3.749058321165817e-94,490,2.950396198836607e-11,0.07356251425519746,40.0,1.08,0.92,0.95
86389,42343,44046,0.5407716535893619,0.7226696266206929,0.6518866639422422,9.579352399363114e-83,490,3.248390109899022e-08,0.06022912323000282,40.0,1.1,0.9,1.0
86389,42468,43921,0.5405084502882076,0.7225911274371292,0.6517611165501697,1.4017146379825154e-81,490,2.9938252734877885e-08,0.059976720521860837,40.0,1.1,0.9,0.98
86389,42702,43687,0.5403797731187544,0.7219099807971524,0.6520475198571658,1.020388916348485e-78,490,4.7100155533784974e-08,0.05929319072563611,40.0,1.1,0.9,0.95
86389,43731,42658,0.5402715673171687,0.70869634812833,0.6639082938721927,1.3537683886926272e-58,490,0.0004294778251858825,0.03643764315625938,40.0,1.15,0.85,1.0
86389,43842,42547,0.5400346843461299,0.708703982482551,0.6637835805109643,1.442166650200984e-57,490,0.0004419952900420868,0.03612638776697393,40.0,1.15,0.85,0.98
86389,44044,42345,0.5398621399598176,0.7080192534737989,0.6642814972251742,2.925242083457625e-55,490,0.0005552178342817203,0.035517049843557344,40.0,1.15,0.85,0.95
86389,44579,41810,0.5401194942987241,0.7001502949819421,0.6721119349437934,4.9908393728470325e-45,495,0.1526848463504688,0.015156316680440972,40.0,1.3,0.7,1.0
86389,44696,41693,0.5399411009501639,0.6999955253266511,0.6721991701244814,6.307168109931769e-44,495,0.16963344339444894,0.014464080548730225,40.0,1.3,0.7,0.98
86389,44913,41476,0.5398504420353218,0.6993743459577405,0.6727263959880413,6.163939528956295e-42,495,0.1958470222767449,0.013616396431347327,40.0,1.3,0.7,0.95
