name_first,name_last,PA_L,PA_R,probability_L,probability_R,probability,Game_Hit_Probability,Consistency,Approach,Expected_Bases
Miguel,Andújar,51.0,126,0.5574796777910689,0.50094756192933,0.5177360386106089,0.5775050009092562,0.059768962298647255,0.29899515144857436,1.0601204341520893
Ildemaro,Vargas,62.0,148,0.6800486720051249,0.4912479827394899,0.5535587933965385,0.5773214285714285,0.02376263517489008,0.31958135340196586,0.9786189381715386
Matt,Vierling,63.0,105,0.6099609570148432,0.5192382015884629,0.5548519874397091,0.576875,0.022023012560290933,0.3200802402542822,0.8917577801902399
Cedric,Mullins,51.0,143,0.5614096833635273,0.45830589120403165,0.48692659222308743,0.5718888888888889,0.08496229666580146,0.27846790779691455,0.7446155004542402
Bryson,Stott,35.0,161,0.664558315969049,0.47801908522208125,0.5157231271915892,0.5666491963661775,0.050926069174588307,0.29223409557056595,1.297780780075188
Mauricio,Dubón,90.0,135,0.4875699120261614,0.6047605054869584,0.5604797932721448,0.5665,0.006020206727855193,0.31751180288867004,0.9321802943225357
Kyle,Tucker,63.0,179,0.6210207683710895,0.4714159647756321,0.5138179325581383,0.5627474134053081,0.04892948084716975,0.2891497125083554,0.9846066084740951
Nick,Fortes,70.0,73,0.49688543032012844,0.5780925626084603,0.5396155432180345,0.5620634920634922,0.022447948845457644,0.3032981965928667,0.7754755213424567
Daniel,Schneemann,39.0,131,0.8134499917516225,0.38405708163940544,0.5155870160868326,0.5618667679837893,0.04627975189695677,0.28969121034311457,0.7170037557418073
Mark,Vientos,68.0,124,0.5864190070809416,0.517369517504052,0.542697875217853,0.5602335164835164,0.017535641265663426,0.3040375390214303,1.279799631722849
Trea,Turner,81.0,174,0.37848064975381845,0.5392217389031089,0.4918513691760803,0.5592911877394635,0.06743981856338321,0.2750881364577713,1.2242489776396928
Tyler,Stephenson,39.0,127,0.48353090539464316,0.539567172821922,0.5268132637395995,0.5515527950310559,0.02473953129145645,0.2905653280750089,1.22653246060423
Austin,Martin,79.0,112,0.5618021209011967,0.5311216751944878,0.5439914720584658,0.5514583333333333,0.007466861274867509,0.29998863052890806,0.7593547365890496
Harrison,Bader,23.0,87,0.5885651566859356,0.5119221078538468,0.5287258165437021,0.5507142857142857,0.021988469170583613,0.29117686039656737,1.2353283675166298
Brice,Turang,67.0,171,0.4094585724504074,0.5520726922364094,0.5147441488240672,0.5468518518518518,0.03210770302778465,0.2814887910143463,0.981296653066926
Carlos,Narváez,21.0,100,0.631795984688613,0.4879025216679026,0.5153399425965193,0.5377380952380952,0.022398152641575964,0.2771179191319616,0.8837844396821524
A. J.,Ewing,24.0,52,0.33873993806974356,0.5957245402000144,0.5241611085307167,0.5337500000000001,0.009588891469283323,0.2797709916782701,0.7491895053475935
Carter,Jensen,48.0,148,0.6580206494409421,0.45017436719172665,0.5076796492385007,0.530962962962963,0.02328331372446224,0.2695590907956721,1.0508145038964436
Geraldo,Perdomo,67.0,162,0.28743570885103165,0.5531653655927966,0.48442410447335327,0.5241071428571429,0.039683038383789615,0.2538901333266593,0.9117512908824533
Richie,Palacios,17.0,114,0.7780199181649485,0.4566397617042527,0.5103263648737024,0.5165823211875843,0.006255956313881872,0.2636255781296793,0.8327712236872544
Bo,Bichette,71.0,189,0.5750005180701894,0.46063765577262306,0.4938125172469202,0.5141666666666667,0.020354149419746448,0.2539019359511248,1.0131187499999998
Drew,Romo,13.0,59,0.10361377326753307,0.48508373915404324,0.4270408199114215,0.5125,0.08545918008857845,0.2188584202046035,0.0
Adrian,Del Castillo,17.0,113,0.07995920766551778,0.5293287591641358,0.4822695530720914,0.5035714285714286,0.021301875499337153,0.24285716779701746,1.0101407395849586
Taylor,Walls,57.0,93,0.39651980842557855,0.5223529972098848,0.4769999154350848,0.5017770034843205,0.02477708804923573,0.23934758822929114,0.9105559329710144
Pedro,Pagés,40.0,83,0.49734204806745264,0.4955394288691498,0.49612615228015344,0.5010714285714285,0.004945276291275058,0.24859463987466257,1.0070301944347193
Connor,Norby,60.0,140,0.37729045698187247,0.44779236924219745,0.42727479192985984,0.4782429245283019,0.05096813259844207,0.20434114606975787,0.6799192708333334
Rhys,Hoskins,59.0,102,0.5190254701887829,0.4099646839200066,0.45178494766108546,0.47732712765957447,0.025542179998489012,0.2156492113868971,1.187195816290461
Wenceel,Pérez,48.0,106,0.6355673132877584,0.3404414116967682,0.44597064435077394,0.46379629629629626,0.017825651945522325,0.2068395331067617,1.2559341784570444
Víctor,Caratini,63.0,96,0.2104021283016957,0.4971475788623074,0.3944718869020464,0.4634090909090909,0.0689372040070445,0.18280185849847103,0.6530424099480256
Ramón,Laureano,55.0,149,0.37555201475142774,0.4174256334006423,0.4063401020007099,0.4461842991913747,0.03984419719066479,0.18130257364453847,1.0455819943718225
Matt,McLain,53.0,172,0.4665670690175654,0.4089933088357911,0.4229360188614547,0.44440418679549115,0.021468167934036442,0.1879545375286473,0.8193517094017094
Manny,Machado,50.0,177,0.5730609691596621,0.3220358962278036,0.3845521433767445,0.43915343915343913,0.05460129577669465,0.16887739629772375,1.243375782556715
Andrés,Giménez,51.0,151,0.2562081917734793,0.47769852850038663,0.42697789802854536,0.43182234432234434,0.004844446293798987,0.18437859690051334,0.7849270254769379
Nolan,Gorman,32.0,173,0.4420874878301245,0.4058954763207756,0.41165230520429863,0.4256507936507936,0.013998488446494983,0.17522013041838844,0.6463025708635466
Dansby,Swanson,66.0,156,0.2774458590861901,0.42735432669088835,0.38536768250756526,0.4247300944669366,0.039362411959371346,0.16367725219594262,0.6757005593787244
Thomas,Saggese,24.0,54,0.5585329877345995,0.29259350468091405,0.3840451797897787,0.4141666666666667,0.030121486876887982,0.15905871196293336,1.088028846153846
Danny,Jansen,34.0,107,0.5240219572323745,0.29425145054428137,0.3556412016728281,0.4035416666666667,0.0479004649938386,0.14351604325838918,0.7971748746780035
Henry,Davis,27.0,103,0.19960152586961188,0.378218277709098,0.34374082523884286,0.353015873015873,0.009275047777030143,0.12134596751288675,0.9454790875021138
Tyler,O'Neill,49.0,60,0.3436990614021487,0.3455281989140869,0.344706377239834,0.34690476190476194,0.0021983846649279437,0.11958028372343767,0.0
