key_mlbam,name_first,name_last,team,opponent,dk_slot,DK_Points,Estimated_Salary
671976,Tristan,Peters,CWS,HOU,OF,3.913243347461206,4800.0
691026,Masyn,Winn,STL,CIN,SS,3.9113342404240554,4800.0
665052,Griffin,Conine,MIA,SD,OF,3.891513374749709,4800.0
811965,Joshua,Kuroda-Grauer,ATH,MIN,3B,3.890648087657929,4800.0
669242,Tommy,Edman,LAD,NYM,OF,3.889931360223253,4800.0
694203,Denzer,Guzman,LAA,SF,3B,3.8832431597588046,4800.0
663656,Kyle,Tucker,LAD,NYM,OF,3.868842569593735,4800.0
699393,Pedro,Ramírez,CHC,PIT,2B,3.8634607685081375,4700.0
666176,Jo,Adell,LAA,SF,OF,3.8629082640253047,4700.0
679529,Spencer,Torkelson,DET,KC,1B,3.8552359935512697,4700.0
694249,Cole,Carrigg,COL,MIL,OF,3.854261907396301,4700.0
593428,Xander,Bogaerts,SD,MIA,SS,3.839712091554698,4700.0
665750,Leody,Taveras,BAL,ATL,OF,3.8309052914325994,4700.0
681546,James,Outman,DET,KC,OF,3.8306118543414094,4700.0
663757,Trent,Grisham,NYY,PHI,OF,3.830200202108168,4700.0
680776,Jarren,Duran,BOS,TOR,OF,3.825098184007009,4700.0
663728,Cal,Raleigh,SEA,TEX,C,3.822188334789769,4700.0
680700,Richie,Palacios,TB,CLE,2B,3.815020003803888,4600.0
663647,Ke'Bryan,Hayes,CIN,STL,3B,3.812104005346446,4600.0
664954,Brett,Sullivan,COL,MIL,C,3.80942960124728,4600.0
682818,Yohendrick,Pinango,TOR,BOS,OF,3.804850671706328,4600.0
676724,Jared,Young,NYM,LAD,1B,3.794188636527224,4600.0
670042,Luke,Raley,SEA,TEX,OF,3.77846076986824,4600.0
687637,Dylan,Beavers,BAL,ATL,OF,3.772729953073142,4500.0
703607,Henry,Bolte,ATH,MIN,OF,3.768999446061493,4500.0
666023,Freddy,Fermin,SD,MIA,C,3.7631191850879975,4500.0
661388,William,Contreras,MIL,COL,C,3.759966794103551,4500.0
596146,Max,Kepler,AZ,WSH,OF,3.739228948179917,4500.0
687221,Dalton,Rushing,LAD,NYM,C,3.730951406330498,4500.0
595978,Austin,Hedges,CLE,TB,C,3.7289505093432074,4500.0
678391,Jorbit,Vivas,WSH,AZ,3B,3.727013989326396,4500.0
683679,Jesus,Rodriguez,SF,LAA,C,3.72680305385406,4500.0
694378,Jacob,Gonzalez,PIT,CHC,1B,3.723435644313458,4400.0
656716,Zach,McKinstry,DET,KC,2B,3.714659778153112,4400.0
641487,J. P.,Crawford,SEA,TEX,SS,3.7139900825777006,4400.0
657136,Connor,Wong,BOS,TOR,C,3.709695080272828,4400.0
691458,Blaze,Jordan,STL,CIN,3B,3.7034224106897145,4400.0
806198,Cooper,Pratt,MIL,COL,SS,3.688808503142025,4400.0
623168,Tyler,Heineman,LAA,SF,C,3.68620683434478,4400.0
680869,Zack,Gelof,ATH,MIN,3B,3.6833595457631114,4400.0
666126,Carlos,Cortes,ATH,MIN,OF,3.675553125261235,4300.0
663457,Lars,Nootbaar,STL,CIN,OF,3.670684288725208,4300.0
805300,Jakob,Marsee,MIA,SD,OF,3.669173861910264,4300.0
675961,Alika,Williams,ATH,MIN,SS,3.667973820652216,4300.0
543760,Marcus,Semien,NYM,LAD,2B,3.667803388603656,4300.0
665742,Juan,Soto,NYM,LAD,OF,3.667049397378364,4300.0
672356,Gabriel,Arias,CLE,TB,3B,3.66161218697385,4300.0
666971,Lourdes,Gurriel,AZ,WSH,OF,3.646678089260128,4300.0
700932,Kyle,Manzardo,CLE,TB,1B,3.6400134633617833,4300.0
656555,Rhys,Hoskins,CLE,TB,1B,3.636653081079378,4300.0
592450,Aaron,Judge,NYY,PHI,OF,3.6353048826367895,4300.0
677942,Blaze,Alexander,BAL,ATL,3B,3.6336717395968927,4300.0
810938,Ben,Williamson,TB,CLE,2B,3.6143059344202255,4200.0
671732,Lawrence,Butler,ATH,MIN,OF,3.611971637741306,4200.0
643446,Jeff,McNeil,ATH,MIN,2B,3.611079367532715,4200.0
624431,Jose,Trevino,CIN,STL,C,3.6018739223827416,4200.0
677951,Bobby,Witt,KC,DET,SS,3.595879406249769,4200.0
641343,Jake,Bauers,MIL,COL,1B,3.5892878884979016,4200.0
694212,Samuel,Basallo,BAL,ATL,C,3.5827962457832934,4100.0
682177,Daniel,Schneemann,CLE,TB,OF,3.576617796509085,4100.0
620443,Luis,Torrens,NYM,LAD,C,3.5742511526009797,4100.0
657757,Gavin,Sheets,SD,MIA,1B,3.5737574939505823,4100.0
573262,Mike,Yastrzemski,ATL,BAL,OF,3.5567272971129693,4100.0
682668,Luisangel,Acuña,CWS,HOU,SS,3.5542750223914443,4100.0
663743,Nick,Fortes,TB,CLE,C,3.5542750223914443,4100.0
