key_mlbam,name,metric,age,value,n_comparables,n_with_next_season,projected_value_mean,projected_value_p25,projected_value_p75
672282,Reid Detmers,K9,26,10.69672131147541,25.0,20.0,9.863890586293067,8.478830680891788,11.188785958069236
672282,Reid Detmers,BB9,26,2.80327868852459,25.0,18.0,3.4360951454148703,2.8050460122699383,3.7493327402135233
672282,Reid Detmers,HR9,26,1.1065573770491803,,,0.9314417446406235,0.9314417446406235,0.9314417446406235
672282,Reid Detmers,FIP,26,3.3540983606557377,25.0,20.0,3.7976882949811865,3.4833860402078156,4.316864836509879
672456,Keider Montero,K9,25,6.583333333333333,25.0,20.0,6.155192832363714,5.408183588281707,6.947560745001728
672456,Keider Montero,BB9,25,1.75,25.0,22.0,2.13870365781584,1.6547691637630664,2.5792363636363635
672456,Keider Montero,HR9,25,0.9166666666666666,,,0.897976187398771,0.897976187398771,0.897976187398771
672456,Keider Montero,FIP,25,3.655555555555556,25.0,20.0,3.9281040494320587,3.4348973221001957,4.179292237442922
674841,Andrew Alvarez,K9,27,9.433734939759036,25.0,16.0,8.25165450088718,7.008116883116883,9.153016970458829
674841,Andrew Alvarez,BB9,27,4.554216867469879,25.0,14.0,4.038943012742565,3.254988354037267,4.6887231365277
674841,Andrew Alvarez,HR9,27,0.3253012048192771,,,0.6894751829615033,0.6894751829615033,0.6894751829615033
674841,Andrew Alvarez,FIP,27,3.1,25.0,19.0,3.311319297729342,3.1533464566929137,3.448038491498563
675512,Troy Melton,K9,25,8.181818181818182,25.0,20.0,8.100558428385323,7.178012945354565,8.926716818367069
675512,Troy Melton,BB9,25,2.8636363636363638,25.0,20.0,3.1994845415576463,2.7178265564338644,3.748488063660478
675512,Troy Melton,HR9,25,1.0909090909090908,,,0.9370335119489129,0.9370335119489129,0.9370335119489129
675512,Troy Melton,FIP,25,3.9030303030303033,25.0,19.0,3.974305143225988,3.668834653718375,4.342810238220774
676083,Janson Junk,K9,30,7.160869565217391,25.0,18.0,7.142483069410228,6.657948223217129,7.880350438047559
676083,Janson Junk,BB9,30,2.5826086956521737,25.0,18.0,2.703076744661269,2.1088549564192913,3.159068788824321
676083,Janson Junk,HR9,30,1.2913043478260868,,,1.0378628586121694,1.0378628586121694,1.0378628586121694
