key_mlbam,Current_Hit_Streak,last_game_date,name_first,name_last,team
681351,0,2026-07-28,Logan,O'Hoppe,LAA
666139,0,2026-07-29,Josh,Lowe,LAA
687263,0,2026-07-29,Zach,Neto,LAA
672724,0,2026-07-28,Oswald,Peraza,LAA
670770,0,2026-07-28,TJ,Friedl,CIN
702332,0,2026-07-30,Caleb,Durbin,BOS
642851,0,2026-07-30,Austin,Wynns,TEX
596142,0,2026-07-29,Gary,Sánchez,MIL
679845,0,2026-07-30,Nick,Loftin,KC
641598,0,2026-07-29,Mitch,Garver,SEA
678554,0,2026-07-27,Curtis,Mead,BOS
621438,0,2026-07-30,Tyrone,Taylor,NYM
677870,0,2026-07-26,Leo,Jimenez,MIA
694374,0,2026-07-29,Tim,Tawa,AZ
571448,0,2026-07-29,Nolan,Arenado,AZ
571970,0,2026-07-30,Max,Muncy,LAD
672695,0,2026-07-29,Geraldo,Perdomo,AZ
663656,0,2026-07-30,Kyle,Tucker,LAD
669743,0,2026-07-26,Alex,Call,LAD
641487,0,2026-07-28,J. P.,Crawford,SEA
650968,0,2026-07-29,Yohel,Pozo,BAL
680728,0,2026-07-27,Adrian,Del Castillo,AZ
670764,0,2026-07-30,Taylor,Walls,TB
686681,0,2026-07-30,Michael,Massey,KC
695257,0,2026-07-26,Billy,Cook,PIT
673548,0,2026-07-30,Seiya,Suzuki,CHC
668952,0,2026-07-30,Ryan,Kreidler,MIN
682668,0,2026-07-30,Luisangel,Acuña,CWS
656537,0,2026-07-25,Derek,Hill,PHI
671976,0,2026-07-30,Tristan,Peters,CWS
695657,0,2026-07-30,Colson,Montgomery,CWS
678246,0,2026-07-30,Miguel,Vargas,CWS
677592,0,2026-07-30,Everson,Pereira,CWS
805367,0,2026-07-30,Chase,Meidroth,CWS
500743,0,2026-07-26,Miguel,Rojas,LAD
669087,0,2026-07-26,Sam,Huff,BAL
701678,0,2026-07-29,Hao-Yu,Lee,DET
596117,0,2026-07-28,Garrett,Stubbs,PHI
687515,0,2026-07-30,Colby,Thomas,ATH
670032,0,2026-07-30,Nicky,Lopez,TEX
691011,0,2026-07-29,Drew,Romo,CWS
668709,0,2026-07-30,JJ,Bleday,CIN
683146,0,2026-07-30,Brett,Baty,NYM
669707,0,2026-07-30,Jared,Triolo,PIT
680779,0,2026-07-29,Henry,Davis,PIT
542303,0,2026-07-29,Marcell,Ozuna,PIT
593871,0,2026-07-30,Jorge,Polanco,NYM
682626,0,2026-07-30,Francisco,Álvarez,NYM
687401,0,2026-07-27,Joey,Ortiz,MIL
669003,0,2026-07-29,Garrett,Mitchell,MIL
683734,0,2026-07-29,Andrew,Vaughn,MIL
680474,0,2026-07-30,Max,Schuemann,NYY
694192,0,2026-07-29,Jackson,Chourio,MIL
683679,0,2026-07-29,Jesus,Rodriguez,SF
691788,0,2026-07-30,Joe,Mack,MIA
823550,0,2026-07-28,Sung Mun,Song,SD
679822,0,2026-07-30,Justin,Foscue,TEX
805347,0,2026-07-30,Jim,Jarvis,ATL
701305,0,2026-07-28,Zach,Dezenzo,HOU
805999,0,2026-07-30,A. J.,Ewing,NYM
683011,0,2026-07-30,Anthony,Volpe,NYY
703607,0,2026-07-29,Henry,Bolte,ATH
669701,0,2026-07-30,Josh,Smith,TEX
592663,0,2026-07-29,J. T.,Realmuto,PHI
607043,0,2026-07-30,Brandon,Nimmo,TEX
669394,0,2026-07-30,Jake,Burger,TEX
694497,0,2026-07-30,Evan,Carter,TEX
677649,0,2026-07-30,Ezequiel,Duran,TEX
592626,0,2026-07-30,Joc,Pederson,TEX
656811,0,2026-07-30,Ryan,O'Hearn,PIT
668804,0,2026-07-30,Bryan,Reynolds,PIT
642350,0,2026-07-29,José,Siri,LAA
806068,0,2026-07-30,Colt,Emerson,SEA
686611,0,2026-07-30,Dylan,Crews,WSH
644433,0,2026-07-29,Chadwick,Tromp,BAL
656577,0,2026-07-30,Alex,Jackson,MIN
699393,0,2026-07-30,Pedro,Ramírez,CHC
571771,0,2026-07-30,Enrique,Hernández,LAD
592518,0,2026-07-30,Manny,Machado,SD
682985,0,2026-07-29,Riley,Greene,DET
630105,0,2026-07-30,Jake,Cronenworth,SD
681481,0,2026-07-26,Kerry,Carpenter,DET
657757,0,2026-07-30,Gavin,Sheets,SD
682997,0,2026-07-28,Tyler,Callihan,PIT
699625,0,2026-07-30,Jimmy,Crooks,STL
694378,0,2026-07-30,Jacob,Gonzalez,PIT
687749,0,2026-07-30,Jase,Bowen,SD
668942,0,2026-07-30,Josh,Rojas,KC
664774,0,2026-07-28,LaMonte,Wade,HOU
663457,0,2026-07-30,Lars,Nootbaar,STL
645305,0,2026-07-30,Ali,Sánchez,NYY
694249,0,2026-07-29,Cole,Carrigg,COL
695731,0,2026-07-30,Braden,Montgomery,CWS
682657,0,2026-07-28,Angel,Martínez,CLE
656555,0,2026-07-28,Rhys,Hoskins,CLE
677594,0,2026-07-30,Julio,Rodríguez,SEA
663728,0,2026-07-30,Cal,Raleigh,SEA
686527,0,2026-07-30,Dominic,Canzone,SEA
670042,0,2026-07-30,Luke,Raley,SEA
805808,0,2026-07-29,Kevin,McGonigle,DET
691406,0,2026-07-30,Junior,Caminero,TB
686780,0,2026-07-29,Pedro,Pagés,STL
680700,0,2026-07-28,Richie,Palacios,TB
802415,0,2026-07-29,Chandler,Simpson,TB
701675,0,2026-07-30,Nathan,Church,STL
687282,0,2026-07-27,Gabriel,Rincones,PHI
669242,0,2026-07-30,Tommy,Edman,LAD
649966,0,2026-07-28,Luis,Urías,TOR
701162,0,2026-07-29,Ben,Malgeri,DET
640459,0,2026-07-29,Brian,Navarreto,MIA
663853,0,2026-07-29,Romy,Gonzalez,BOS
695508,0,2026-07-30,Cameron,Cauley,TEX
671155,0,2026-07-29,Ivan,Johnson,CIN
678545,0,2026-07-29,Osleivis,Basabe,SF
