player_id,player_display_name,position,season,team,games_played,possible_games,games_missed,dk_points_total,dk_points_per_game,games_missed_prior_season,avg_offense_pct
00-0037840,Kyren Williams,RB,2025,LA,17,17,0,268.3,15.782352941176471,1.0,0.6829411764705882
00-0034869,Sam Darnold,QB,2025,SEA,17,17,0,267.42,15.73058823529412,0.0,0.9617647058823531
00-0036973,Travis Etienne,RB,2025,JAX,17,17,0,259.90000000000003,15.28823529411765,2.0,0.6011764705882353
00-0033119,Jacoby Brissett,QB,2025,ARI,14,17,3,255.44,18.245714285714286,10.0,0.8571428571428571
00-0039064,Zay Flowers,WR,2025,BAL,17,17,0,255.3,15.01764705882353,0.0,0.8647058823529411
00-0040122,Ashton Jeanty,RB,2025,LV,17,17,0,252.1,14.829411764705881,,0.7788235294117647
00-0036264,Jordan Love,QB,2025,GB,15,17,2,251.14,16.742666666666665,2.0,0.9426666666666667
00-0036997,Javonte Williams,RB,2025,DAL,16,17,1,250.8,15.675,0.0,0.69
00-0040691,Jaxson Dart,QB,2025,NYG,14,17,3,250.58,17.89857142857143,,0.8364285714285714
00-0035710,Daniel Jones,QB,2025,IND,13,17,4,246.44,18.956923076923076,7.0,0.9146153846153846
00-0039150,Bryce Young,QB,2025,CAR,16,17,1,243.04000000000002,15.190000000000001,3.0,0.9675
00-0034844,Saquon Barkley,RB,2025,PHI,16,17,1,242.3,15.14375,1.0,0.783125
00-0036275,D'Andre Swift,RB,2025,CHI,16,17,1,239.6,14.975,0.0,0.57875
00-0035700,Josh Jacobs,RB,2025,GB,15,17,2,239.10000000000002,15.940000000000001,0.0,0.5906666666666667
00-0036554,Nico Collins,WR,2025,HOU,15,17,2,236.20000000000002,15.746666666666668,5.0,0.772
00-0023459,Aaron Rodgers,QB,2025,PIT,16,17,1,235.98000000000002,14.748750000000001,0.0,0.956875
00-0035676,A.J. Brown,WR,2025,PHI,15,17,2,235.3,15.686666666666667,4.0,0.9066666666666666
00-0037240,Jameson Williams,WR,2025,DET,17,17,0,231.9,13.641176470588235,2.0,0.9017647058823529
00-0038559,Michael Wilson,WR,2025,ARI,17,17,0,229.6,13.505882352941176,1.0,0.8135294117647058
00-0034796,Lamar Jackson,QB,2025,BAL,13,17,4,227.85999999999999,17.527692307692305,0.0,0.9223076923076923
00-0038117,Wan'Dale Robinson,WR,2025,NYG,16,17,1,226.9,14.18125,0.0,0.9075
00-0036139,Rico Dowdle,RB,2025,CAR,17,17,0,226.3,13.311764705882354,1.0,0.5605882352941176
